Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
1096/2026 - 1DEAM;ESTUPRO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, ESTUPRO, FATOS TIPICOS;Jardim Leblon;MS;Campo Grande;5002704;2026;11/02/2026;23:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;22.0
397/2026 - 1DP-NAVIRAÍ;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;COJUNTO HABITACIONAL HARRY AMORIM COSTA;MS;Navirai;5005707;2026;11/02/2026;20:09:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;42.0
397/2026 - 1DP-NAVIRAÍ;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;COJUNTO HABITACIONAL HARRY AMORIM COSTA;MS;Navirai;5005707;2026;11/02/2026;20:09:00;AUTOR;FEMININO;BRASILEIRO(A);N/I;N/I;22.0
379/2026 - 1DP-PONTA PORÃ;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;RESIDENCIAL KAMEL SAAD;MS;Ponta Pora;5006606;2026;11/02/2026;19:56:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;37.0
379/2026 - 1DP-PONTA PORÃ;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;RESIDENCIAL KAMEL SAAD;MS;Ponta Pora;5006606;2026;11/02/2026;19:56:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;31.0
154/2026 - 1DP-JARDIM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA ANGELICA DOIS;MS;Jardim;5005004;2026;11/02/2026;19:49:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;23.0
154/2026 - 1DP-JARDIM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA ANGELICA DOIS;MS;Jardim;5005004;2026;11/02/2026;19:49:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;20.0
1095/2026 - 1DEAM;DIFAMACAO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DIFAMAÇAO;Santo Antonio;MS;Campo Grande;5002704;2026;11/02/2026;19:30:00;AUTOR;MASCULINO;BRASILEIRO(A);SUPERIOR COMPLETO;PARDA;59.0
1095/2026 - 1DEAM;DIFAMACAO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DIFAMAÇAO;Santo Antonio;MS;Campo Grande;5002704;2026;11/02/2026;19:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR COMPLETO;BRANCA;55.0
167/2026 - DP-CAARAPO;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;ZONA RURAL;MS;Caarapo;5002407;2026;11/02/2026;19:30:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;28.0
167/2026 - DP-CAARAPO;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;ZONA RURAL;MS;Caarapo;5002407;2026;11/02/2026;19:30:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;INDÍGENA;24.0
