Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
390/2026 - 1DP-CORUMBA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;VILA GUARANI;MS;CORUMBÁ;5003207;2026;24/01/2026;18:33:00;AUTOR;MASCULINO;BRASILEIRO(A);SUPERIOR COMPLETO;PARDA;73.0
390/2026 - 1DP-CORUMBA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;VILA GUARANI;MS;CORUMBÁ;5003207;2026;24/01/2026;18:33:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;62.0
43/2026 - DP-BELA VISTA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;BELA VISTA;5002100;2026;15/01/2026;20:00:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;51.0
43/2026 - DP-BELA VISTA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;BELA VISTA;5002100;2026;15/01/2026;20:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;44.0
1586/2025 - DP-RIBAS RIO PARDO;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;RIBAS DO RIO PARDO;5007109;2025;14/12/2025;01:17:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;31.0
1586/2025 - DP-RIBAS RIO PARDO;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR;VIOLENCIA DOMESTICA, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;;MS;RIBAS DO RIO PARDO;5007109;2025;14/12/2025;01:17:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;33.0
8564/2025 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;VILA TAVEIROPOLIS;MS;CAMPO GRANDE;5002704;2025;08/12/2025;08:00:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;BRANCA;59.0
8564/2025 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;VILA TAVEIROPOLIS;MS;CAMPO GRANDE;5002704;2025;08/12/2025;08:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;BRANCA;26.0
8564/2025 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;VILA TAVEIROPOLIS;MS;CAMPO GRANDE;5002704;2025;08/12/2025;08:00:00;VÍTIMA;FEMININO;N/I;N/I;N/I;76.0
8564/2025 - 1DEAM;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;VILA TAVEIROPOLIS;MS;CAMPO GRANDE;5002704;2025;08/12/2025;08:00:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;BRANCA;59.0
